AppDocID	ApplNo	SeqNo	DocType	DocTitle	DocURL	DocDate	ActionType	DuplicateCounter
18	020010	000	Label		http://www.accessdata.fda.gov/drugsatfda_docs/label/2000/20010lbl.pdf	2000-12-08 00:00:00	AP	0
19	073416	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2000/73416ltr.pdf	2000-03-14 00:00:00	AP	0
20	050542	005	Review		http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/050542s005s010s011.cfm	1998-02-27 00:00:00	AP	0
21	012380	022	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2001/12380S25ltr.pdf	2001-04-09 00:00:00	AP	0
22	012342	046	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2001/12342S51LTR.PDF	2001-03-15 00:00:00	AP	0
23	020125	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1999/20125ltr.pdf	1999-12-28 00:00:00	AP	0
24	020125	000	Label		http://www.accessdata.fda.gov/drugsatfda_docs/label/1999/20125lbl.pdf	1999-12-28 00:00:00	AP	0
25	012380	023	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2001/12380S25ltr.pdf	2001-04-09 00:00:00	AP	0
26	040026	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/40026ltr.pdf	1998-09-25 00:00:00	AP	0
27	040032	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1999/40032ltr.pdf	1999-08-17 00:00:00	AP	0
28	020120	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2000/20120ltr.pdf	2000-02-04 00:00:00	AP	0
29	020120	000	Label		http://www.accessdata.fda.gov/drugsatfda_docs/label/2000/20120lbl.pdf	2000-02-04 00:00:00	AP	0
30	012342	048	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2001/12342S51LTR.PDF	2001-03-15 00:00:00	AP	0
31	074253	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2001/75253ltr&TA.pdf	2001-03-28 00:00:00	AP	0
32	074278	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2000/74278ltr.pdf	2000-03-31 00:00:00	AP	0
33	074347	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/74347ltr.pdf	1998-05-28 00:00:00	AP	0
34	074348	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/74348ltr.pdf	1998-05-28 00:00:00	AP	0
35	020369	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/20369ltr.pdf	1998-03-30 00:00:00	AP	0
36	020369	000	Label		http://www.accessdata.fda.gov/drugsatfda_docs/label/1998/20369lbl.pdf	1998-03-30 00:00:00	AP	0
37	074404	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/74404ltr.pdf	1998-05-14 00:00:00	AP	0
38	074404	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/anda/98/74404.cfm	1998-05-14 00:00:00	AP	0
39	020400	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/20400.cfm	1998-01-29 00:00:00	AP	0
40	074415	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/74415ltr.pdf	1998-06-08 00:00:00	AP	0
41	074415	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/anda/98/74415ap.pdf	1998-06-08 00:00:00	AP	0
42	074432	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1999/74432ltr.pdf	1999-07-29 00:00:00	AP	0
43	074446	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2000/74446ltr.pdf	2000-05-18 00:00:00	AP	0
44	074464	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/74464ltr.pdf	1998-05-28 00:00:00	AP	0
45	074464	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/anda/98/74464.cfm	1998-05-28 00:00:00	AP	0
46	074471	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/anda/98/74471.cfm	1998-03-19 00:00:00	AP	0
47	074496	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/74496ltr.pdf	1998-09-28 00:00:00	AP	0
48	020484	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2000/20484ltr.pdf	2000-07-14 00:00:00	AP	0
49	020484	000	Label		http://www.accessdata.fda.gov/drugsatfda_docs/label/2000/20484lbl.pdf	2000-07-14 00:00:00	AP	0
50	074507	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1999/74507ltr.pdf	1999-03-15 00:00:00	AP	0
51	074517	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/74517ltr.pdf	1998-09-30 00:00:00	AP	0
52	064134	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1999/64134LTR.PDF	1999-10-27 00:00:00	AP	0
53	074530	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2000/74530ltr.pdf	2000-04-21 00:00:00	AP	0
54	019157	011	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/19157s11ltr.pdf	1998-12-17 00:00:00	AP	0
55	020521	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/20521ltr.pdf	1998-07-01 00:00:00	AP	0
56	020521	000	Label		http://www.accessdata.fda.gov/drugsatfda_docs/label/1998/20521lbl.pdf	1998-07-01 00:00:00	AP	0
57	019157	012	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/19157s11ltr.pdf	1998-12-17 00:00:00	AP	0
58	074543	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/anda/98/074543ap.pdf	1998-01-15 00:00:00	AP	0
59	074545	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/74545ltr.pdf	1998-06-25 00:00:00	AP	0
60	074552	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/74552ltr.pdf	1998-07-30 00:00:00	AP	0
61	074555	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/74555LTR.PDF	1998-09-30 00:00:00	AP	0
62	074567	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2001/74567ltr.pdf	2001-04-17 00:00:00	AP	0
63	050542	010	Review		http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/050542s005s010s011.cfm	1998-02-27 00:00:00	AP	0
64	074575	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2000/74575ltr.pdf	2000-02-18 00:00:00	AP	0
65	064142	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/64142ltr.pdf	1998-06-25 00:00:00	AP	0
66	064142	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/anda/98/64142.cfm	1998-06-25 00:00:00	AP	0
67	064144	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/64144ltr.pdf	1998-04-30 00:00:00	AP	0
68	074597	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/74597ltr.pdf	1998-07-29 00:00:00	AP	0
69	040131	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/anda/98/40131ap.pdf	1998-02-24 00:00:00	AP	0
70	040138	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/anda/98/040138ap.pdf	1998-01-30 00:00:00	AP	0
71	020583	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/20583ltr.pdf	1998-03-09 00:00:00	AP	0
72	020583	000	Label		http://www.accessdata.fda.gov/drugsatfda_docs/label/1998/20583lbl.pdf	1998-03-09 00:00:00	AP	0
73	074653	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/74653ltr.pdf	1998-07-29 00:00:00	AP	0
74	012342	044	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2001/12342S51LTR.PDF	2001-03-15 00:00:00	AP	0
75	074489	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/74489ltr.pdf	1998-08-12 00:00:00	AP	0
76	074574	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2000/74574ltr.pdf	2000-02-18 00:00:00	AP	0
77	074616	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/74616ltr.pdf	1998-08-03 00:00:00	AP	0
78	074656	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2000/74656ltr.pdf	2000-05-16 00:00:00	AP	0
79	074657	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2000/74657ltr.pdf	2000-04-28 00:00:00	AP	0
80	040140	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/40140ltr.pdf	1998-11-20 00:00:00	AP	0
81	020610	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2000/20610ltr.pdf	2000-07-18 00:00:00	AP	0
82	020610	000	Label		http://www.accessdata.fda.gov/drugsatfda_docs/label/2000/20610lbl.pdf	2000-07-18 00:00:00	AP	0
83	020574	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/20574ltr.pdf	1998-11-24 00:00:00	AP	0
84	020574	000	Label		http://www.accessdata.fda.gov/drugsatfda_docs/label/1998/20574lbl.pdf	1998-11-24 00:00:00	AP	0
85	050680	002	Review		http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/050680S002.cfm	1998-03-02 00:00:00	AP	0
86	074686	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1999/74686ltr.pdf	1999-04-20 00:00:00	AP	0
87	020612	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1999/20612ltr.pdf	1999-03-19 00:00:00	AP	0
88	020612	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/20612.cfm	1999-06-17 00:00:00	AP	0
89	020612	000	Label		http://www.accessdata.fda.gov/drugsatfda_docs/label/1999/20612lbl.pdf	1999-03-19 00:00:00	AP	0
90	074688	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1999/74688ltr.pdf	1999-08-25 00:00:00	AP	0
91	019958	008	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1999/19958s08ltr.pdf	1999-06-17 00:00:00	AP	0
92	019958	008	Review		http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/19958S8_Cutivate.cfm	1999-06-17 00:00:00	AP	0
93	019958	008	Label		http://www.accessdata.fda.gov/drugsatfda_docs/label/1999/19958s8lbl.pdf	1999-06-17 00:00:00	AP	0
94	074699	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2000/74699ltr.pdf	2000-03-24 00:00:00	AP	0
95	074707	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1999/74707ltr.pdf	1999-03-19 00:00:00	AP	0
96	074721	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/74721ltr.pdf	1998-12-29 00:00:00	AP	0
97	074723	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1999/74723ltr.pdf	1999-03-30 00:00:00	AP	0
98	074726	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/74726ltr.pdf	1998-11-20 00:00:00	AP	0
99	074728	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/74728ltr.pdf	1998-08-04 00:00:00	AP	0
100	074728	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/anda/98/74728.cfm	1999-03-15 00:00:00	AP	0
101	064160	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2000/64160ltr.pdf	2000-01-28 00:00:00	AP	0
102	074735	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1999/74735ltr.pdf	1999-07-16 00:00:00	AP	0
103	040162	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/anda/98/40162ap.pdf	1998-01-20 00:00:00	AP	0
104	074737	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/74737ltr.pdf	1998-10-28 00:00:00	AP	0
105	074739	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/74739ltr.pdf	1998-11-30 00:00:00	AP	0
106	074751	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/74751ltr.pdf	1998-09-30 00:00:00	AP	0
107	074752	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/74752ltr.pdf	1998-07-09 00:00:00	AP	0
108	074752	000	Label		http://www.accessdata.fda.gov/drugsatfda_docs/label/1998/74752lbl.pdf	1998-07-09 00:00:00	AP	0
109	074756	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/74756ltr.pdf	1998-11-25 00:00:00	AP	0
110	074759	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/74759ltr.pdf	1998-09-02 00:00:00	AP	0
111	020667	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/020667.cfm	1997-07-01 00:00:00	AP	0
112	074769	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/74769ltr.pdf	1998-07-02 00:00:00	AP	0
113	074769	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/anda/98/74769.cfm	1999-03-30 00:00:00	AP	0
114	050731	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/50731.pdf	1998-01-30 00:00:00	AP	0
115	074782	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/74782ltr.pdf	1998-07-06 00:00:00	AP	0
116	074782	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/anda/98/74782.cfm	1998-07-06 00:00:00	AP	0
117	074787	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/74787ltr.pdf	1998-08-03 00:00:00	AP	0
118	074792	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/74792ltr.pdf	1998-06-26 00:00:00	AP	0
119	074793	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2000/74793ltr.pdf	2000-03-16 00:00:00	AP	0
120	064169	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/64169ltr.pdf	1998-08-14 00:00:00	AP	0
121	064170	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/anda/98/64170.cfm	1998-03-18 00:00:00	AP	0
122	074806	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/anda/98/074806ap.pdf	1998-01-23 00:00:00	AP	0
123	020076	011	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1999/20076S11LTR.PDF	1999-11-12 00:00:00	AP	0
124	074811	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/anda/98/74811ap.pdf	1998-01-30 00:00:00	AP	0
125	074814	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2000/74814ltr.pdf	2000-05-16 00:00:00	AP	0
126	074815	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/anda/98/074815ap.pdf	1998-01-20 00:00:00	AP	0
127	074823	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/anda/98/74823ap.pdf	1998-03-30 00:00:00	AP	0
128	020687	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2000/20687appltr.pdf	2000-09-28 00:00:00	AP	0
129	020687	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/20687_mifepristone.cfm	2000-09-28 00:00:00	AP	0
130	020687	000	Label		http://www.accessdata.fda.gov/drugsatfda_docs/label/2000/20687lbl.pdf	2000-09-28 00:00:00	AP	0
131	074830	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1999/74830ltr.pdf	1999-01-25 00:00:00	AP	0
132	018972	015	Review		http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/18972S015S017.cfm	1999-01-05 00:00:00	AP	0
133	074845	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1999/74845ltr.pdf	1999-09-15 00:00:00	AP	0
134	074847	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1999/74847ltr.pdf	1999-04-23 00:00:00	AP	0
135	074859	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/74859ltr.pdf	1998-07-09 00:00:00	AP	0
136	020697	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/20697ltr.pdf	1998-01-29 00:00:00	AP	0
137	020697	000	Label		http://www.accessdata.fda.gov/drugsatfda_docs/label/1998/20697lbl-s4.pdf	1998-01-29 00:00:00	AP	0
138	020698	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1999/20698ltr.pdf	1999-02-18 00:00:00	AP	0
139	020698	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/020698.cfm	1999-08-17 00:00:00	AP	0
140	020698	000	Label		http://www.accessdata.fda.gov/drugsatfda_docs/label/1999/20698pi.pdf	1999-02-18 00:00:00	AP	0
141	074862	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/74862ltr.pdf	1998-07-07 00:00:00	AP	0
142	074862	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/anda/98/74862.cfm	1999-03-30 00:00:00	AP	0
143	019810	038	Review		http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/019810s38s50s56.cfm	1998-01-15 00:00:00	AP	0
144	040180	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/40180ltr.pdf	1998-04-30 00:00:00	AP	0
145	019941	007	Review		http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/019941s008_emla.pdf	1998-02-04 00:00:00	AP	0
146	040182	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/anda/98/40182ap.pdf	1998-03-13 00:00:00	AP	0
147	074865	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/anda/98/74865.cfm	1999-03-15 00:00:00	AP	0
148	040183	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/40183ltr.pdf	1998-12-22 00:00:00	AP	0
149	020713	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/20713.cfm	1998-04-22 00:00:00	AP	0
150	020715	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2000/20715ltr.pdf	2000-06-15 00:00:00	AP	0
151	020715	000	Label		http://www.accessdata.fda.gov/drugsatfda_docs/label/2000/20715lbl.pdf	2000-06-15 00:00:00	AP	0
152	020718	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/20718ltr.pdf	1998-05-18 00:00:00	AP	0
153	020718	000	Label		http://www.accessdata.fda.gov/drugsatfda_docs/label/1998/20718lbl.pdf	1998-05-18 00:00:00	AP	0
154	020717	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/20717ltr.pdf	1998-12-24 00:00:00	AP	0
155	020717	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/020717A_Provigil.cfm	1998-12-24 00:00:00	AP	0
156	020717	000	Label		http://www.accessdata.fda.gov/drugsatfda_docs/label/1998/20717lbl.pdf	1998-12-24 00:00:00	AP	0
157	019157	013	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/19157s11ltr.pdf	1998-12-17 00:00:00	AP	0
158	040184	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/anda/98/40184ap.pdf	1998-02-06 00:00:00	AP	0
159	074873	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/74873ltr.pdf	1998-06-19 00:00:00	AP	0
160	074873	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/anda/98/74873ap.pdf	1999-03-16 00:00:00	AP	0
161	074874	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1999/74874ltr.pdf	1999-05-25 00:00:00	AP	0
162	074881	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2000/74881ltr.pdf	2000-07-28 00:00:00	AP	0
163	074890	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/74890ltr.pdf	1998-12-18 00:00:00	AP	0
164	074895	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1999/74895ltr.pdf	1999-04-16 00:00:00	AP	0
165	074904	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/74904ltr.pdf	1998-07-14 00:00:00	AP	0
166	074904	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/anda/98/74904ap.pdf	1998-07-14 00:00:00	AP	0
167	074905	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/anda/98/74905ap.pdf	1997-08-26 00:00:00	AP	0
168	064180	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1999/64180ltr.pdf	1999-12-23 00:00:00	AP	0
169	040191	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/40191ltr.pdf	1998-12-17 00:00:00	AP	0
170	074909	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/anda/98/74909ap.pdf	1998-03-25 00:00:00	AP	0
171	020363	010	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/20363S14ltr.pdf	1998-06-12 00:00:00	AP	0
172	040192	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/40192ltr.pdf	1998-05-28 00:00:00	AP	0
173	040192	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/anda/98/40192ap.pdf	1998-05-28 00:00:00	AP	0
174	020744	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1999/20744ltr.pdf	1999-11-18 00:00:00	AP	0
175	020744	000	Label		http://www.accessdata.fda.gov/drugsatfda_docs/label/1999/20744lbl.pdf	1999-11-18 00:00:00	AP	0
176	074912	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/anda/98/74912.cfm	1999-03-15 00:00:00	AP	0
177	020746	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1999/20746ltr.pdf	1999-10-01 00:00:00	AP	0
178	020746	000	Label		http://www.accessdata.fda.gov/drugsatfda_docs/label/1999/20746lbl.pdf	1999-10-01 00:00:00	AP	0
179	020747	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/20747ltr.pdf	1998-11-04 00:00:00	AP	0
180	020747	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/20747_Actiq.cfm	2000-07-19 00:00:00	AP	0
181	020747	000	Label		http://www.accessdata.fda.gov/drugsatfda_docs/label/1998/20747lbl.pdf	1998-11-04 00:00:00	AP	0
182	020262	014	Review		http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/20262S031_Taxol.pdf	1999-01-08 00:00:00	AP	0
183	074917	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/anda/98/74917ap.pdf	1998-02-03 00:00:00	AP	0
184	074918	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/74918ltr.pdf	1998-05-08 00:00:00	AP	0
185	074918	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/anda/98/74918.cfm	1998-05-08 00:00:00	AP	0
186	020753	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1999/20753LTR.PDF	1999-10-21 00:00:00	AP	0
187	020753	000	Label		http://www.accessdata.fda.gov/drugsatfda_docs/label/1999/20753LBL.PDF	1999-10-21 00:00:00	AP	0
188	020752	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/20752ltr.pdf	1998-05-28 00:00:00	AP	0
189	020752	000	Label		http://www.accessdata.fda.gov/drugsatfda_docs/label/1998/20752lbl.pdf	1998-05-28 00:00:00	AP	0
190	074920	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/74920ltr.pdf	1998-08-04 00:00:00	AP	0
191	074924	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/74924ltr.pdf	1998-04-29 00:00:00	AP	0
192	040201	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/anda/98/40201ap.pdf	1998-02-27 00:00:00	AP	0
193	074926	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1999/74926ltr.pdf	1999-04-16 00:00:00	AP	0
194	074928	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/anda/98/74928.cfm	1998-03-19 00:00:00	AP	0
195	020262	016	Review		http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/20262S031_Taxol.pdf	1999-01-08 00:00:00	AP	0
196	040203	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1999/40203ltr.pdf	1999-03-15 00:00:00	AP	0
197	074929	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/anda/98/74929.cfm	1998-01-30 00:00:00	AP	0
198	020748	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2000/20748ltr.pdf	2000-05-26 00:00:00	AP	0
199	020748	000	Label		http://www.accessdata.fda.gov/drugsatfda_docs/label/2000/20748lbl.pdf	2000-05-26 00:00:00	AP	0
