ApplNo	ApplType	SponsorApplicant	MostRecentLabelAvailableFlag	CurrentPatentFlag	ActionType	Chemical_Type	Ther_Potential	Orphan_Code
006309	N	REED AND CARNRICK	False	False	AP			
006317	N	LILLY	False	False	AP			
006325	N	LILLY	False	False	AP	5	S	
006327	N	SANOFI AVENTIS US	False	False	AP	1	P	
006328	N	SANOFI AVENTIS US	False	False	AP			
006333	N	CENT PHARMS	False	False	AP			
006343	N	BAXTER HLTHCARE	False	False	AP	5	S	
006383	N	MALLINCKRODT	False	False	AP			
006403	N	NOVARTIS	False	False	AP			
006412	N	SANOFI AVENTIS US	False	False	AP	1	S	
006441	N	PARKE DAVIS	False	False	AP			
006459	N	LEDERLE	False	False	AP			
006460	N	LILLY	False	False	AP	5	S	
006470	N	LILLY	False	False	AP	5	S	
006488	N	APP PHARMS	False	False	AP			
006514	N	PARKE DAVIS	False	False	AP	3	S	
006525	N	ROCHE	False	False	AP			
006530	N	AZUR PHARMA	False	False	AP			
006536	N	ODYSSEY PHARMS	False	False	AP			
006580	N	MCGAW	False	False	AP	5	S	
006620	N	NOVARTIS	False	False	AP			
006632	N	LILLY	False	False	AP	1	S	
006668	N	MERCK	False	False	AP			
006695	N	LUNDBECK INC	False	False	AP	1	P	
006772	N	GLAXOSMITHKLINE	False	False	AP			
006773	N	LEDERLE	False	False	AP			
006798	N	PHARMACIA AND UPJOHN	False	False	AP			
006799	N	BRISTOL MYERS SQUIBB	False	False	AP	5	S	
006800	N	ABBOTT	False	False	AP			
006811	N	PANRAY	False	False	AP			
006823	N	HOSPIRA	False	False	AP			
006882	N	SANOFI AVENTIS US	False	False	AP			
006904	N	BRISTOL MYERS SQUIBB	False	False	AP	1	P	
006905	N	ABBOTT	False	False	AP	3	S	
006917	N	ROCHE	False	False	AP			
006920	N	LEDERLE	False	False	AP	5	S	
006921	N	SCHERING	False	False	AP			
006927	N	RANBAXY	False	False	AP			
006931	N	GLAXOSMITHKLINE	False	False	AP			
007012	N	BAYER HLTHCARE	False	False	AP			
007073	N	PHARMACIA AND UPJOHN	False	False	AP	1	P	
007085	N	WARNER CHILCOTT	False	False	AP			
007110	N	MERCK	False	False	AP	1	P	
007245	N	LILLY	False	False	AP	4	S	
007320	N	CONSOLIDATED MIDLAND	False	False	AP	5	S	
007335	N	APOTHECON	False	False	AP	1	P	
007336	N	3M	False	False	AP	2	P	
007337	N	ENDO PHARMS	False	False	AP	4	S	
007390	N	SHIRE	False	False	AP	1	S	
007392	N	LILLY	False	False	AP	2	S	
007409	N	APTALIS PHARMA US	False	False	AP	1	S	
007413	N	PHARMACIA AND UPJOHN	False	False	AP	5	S	
007504	N	SANOFI AVENTIS US	False	False	AP	1	P	
007513	N	HOSPIRA	False	False	AP	1	P	
007517	N	KING PHARMS	False	False	AP	1	P	
007529	N	LILLY	False	False	AP	2	P	
007600	N	PARKEDALE	False	False	AP	1	S	
007638	N	SCHERING PLOUGH	False	False	AP	3	S	
007707	N	ABBOTT	False	False	AP	1	P	
007750	N	MERCK	False	False	AP	3	S	
007757	N	ROCHE	False	False	AP	5	S	
007794	N	TEVA	False	False	AP	1	S	
007842	N	DAVIS AND GECK	False	False	AP	1	P	
007865	N	LILLY	False	False	AP	3	S	
007883	N	TEVA WOMENS	False	False	AP	1	P	
007898	N	MERCK	False	False	AP	1	P	
007935	N	WYETH PHARMS INC	False	False	AP	3	S	
007936	N	CHATTEM	False	False	AP	3	S	
007942	N	FOREST LABS	False	False	AP	5	S	
007953	N	ALLERGAN	False	False	AP	4	S	
007959	N	VALEANT PHARM INTL	False	False	AP	1	P	
007961	N	APTALIS PHARMA US	False	False	AP	3	S	
007984	N	PARKE DAVIS	False	False	AP	1	S	
008032	N	GE HEALTHCARE	False	False	AP	1	P	
008041	N	PARKE DAVIS	False	False	AP	1	P	
008048	N	ASTRAZENECA	False	False	AP	2	S	
008085	N	DAVA PHARMS INC	False	False	AP	1	P	
008102	N	SANOFI AVENTIS US	False	False	AP	1	S	
008107	N	HOSPIRA	False	False	AP	1	P	V
008114	N	SCHERING	False	False	AP	1	S	
008126	N	PHARMACIA AND UPJOHN	False	False	AP	5	S	
008173	N	VALEANT PHARM INTL	False	False	AP	1	P	
008228	N	MERCK	False	False	AP	2	S	
008248	N	BAXTER HLTHCARE CORP	False	False	AP	3	S	
008278	N	NOVARTIS	False	False	AP	1	P	
008284	N	PANRAY	False	False	AP	5	S	
008303	N	NOVARTIS	False	False	AP	1	P	
008306	N	ANI PHARMS	False	False	AP	4	S	
008316	N	SANOFI AVENTIS US	False	False	AP	5	S	
008317	N	PARKEDALE	False	False	AP	5	S	
008319	N	NOVARTIS	False	False	AP	14	S	
008322	N	ABBOTT	False	False	AP	1	S	
008370	N	APTALIS PHARMA US	False	False	AP	3	S	
008372	N	QUESTCOR PHARMS	False	False	AP	5	S	
008378	N	INTL MINERALS	False	False	AP			
008381	N	ANI PHARMS	False	False	AP	2	S	
008392	N	BRISTOL MYERS SQUIBB	False	False	AP	5	S	
008402	N	SANOFI AVENTIS US	False	False	AP			
008414	N	ROCHE	False	False	AP	2	S	
008420	N	ROCHE	False	False	AP	5	S	
008428	N	PANRAY	False	False	AP	5	S	
008453	N	SANDOZ	False	False	AP	1	P	
008472	N	MERCK	False	False	AP	3	S	
008492	N	NOVARTIS	False	False	AP	1	S	
008499	N	LILLY	False	False	AP	5	S	
008506	N	MERCK	False	False	AP	24	P	
008565	N	WYETH AYERST	False	False	AP	1	S	
008578	N	COREPHARMA	False	False	AP	1	P	
008592	N	EASTMAN KODAK	False	False	AP	14	S	
008604	N	ANI PHARMS	False	False	AP	4	S	
008662	N	SANDOZ	False	False	AP	3	S	
008678	N	SANDOZ	False	False	AP	5	S	
008682	N	SANOFI AVENTIS US	False	False	AP	1	P	
008693	N	PROCTER AND GAMBLE	False	False	AP	1	P	
008697	N	PHARMACIA AND UPJOHN	False	False	AP	5	S	
008708	N	WELLSPRING PHARM	False	False	AP	1	P	
008719	N	VALEANT PHARM INTL	False	False	AP	3	P	
008720	N	VALEANT PHARM INTL	False	False	AP	3	P	
008732	N	SHIRE	False	False	AP	1	S	
008762	N	PARKE DAVIS	False	False	AP	2	S	
008767	N	SANOFI AVENTIS US	False	False	AP	5	S	
008794	N	SCHERING PLOUGH	False	False	AP	5	S	
008809	N	HOSPIRA	False	False	AP	4	S	
008814	N	MEDPOINTE PHARM HLC	False	False	AP	1	S	
008816	N	OAK PHARMS	False	False	AP	3	S	
008822	N	NOVARTIS	False	False	AP	2	S	
008826	N	SCHERING PLOUGH	False	False	AP	5	S	
008842	N	APOTHECON	False	False	AP	1	S	
008843	N	GD SEARLE LLC	False	False	AP	3	S	
008845	N	HOSPIRA	False	False	AP	5	S	
008847	N	APOTHECON	False	False	AP	5	S	
008848	N	NYCOMED US	False	False	AP	1	S	
008855	N	PARKE DAVIS	False	False	AP	1	P	
008857	N	WYETH AYERST	False	False	AP	3	S	
008867	N	3M	False	False	AP	2	S	
008869	N	LILLY	False	False	AP	14	S	
008883	N	APOTHECON	False	False	AP	1	S	
008915	N	ORTHO MCNEIL PHARM	False	False	AP	1	S	
008917	N	PHARMACIA AND UPJOHN	False	False	AP	5	S	
008922	N	GRACEWAY	False	False	AP	1	P	
008943	N	DURAMED PHARMS BARR	False	False	AP	1	P	
008951	N	LILLY	False	False	AP	1	S	
008955	N	MCNEIL	False	False	AP	1	S	
008975	N	ORGANON USA INC	False	False	AP	5	S	
008983	N	ROCHE	False	False	AP	1	P	
009000	N	NOVARTIS	False	False	AP	4	P	
009008	N	ORTHO MCNEIL PHARM	False	False	AP	4	S	
009018	N	MERCK	False	False	AP	3	S	
009048	N	VALEANT PHARM INTL	False	False	AP	1	P	
009052	N	BRISTOL MYERS SQUIBB	False	False	AP	3	S	
009053	N	TEVA	False	False	AP	1	P	
009078	N	PARKE DAVIS	False	False	AP	1	S	
009087	N	NOVARTIS	False	False	AP	1	S	
009088	N	TEVA	False	False	AP	3	S	
009102	N	GLAXOSMITHKLINE	False	False	AP	2	P	
009108	N	PAL PAK	False	False	AP	5	S	
009112	N	RANBAXY	False	False	AP	3	S	
009115	N	NOVARTIS	False	False	AP	2	P	
009127	N	PFIZER	False	False	AP	5	S	
009149	N	GLAXOSMITHKLINE	False	False	AP	1	P	
009164	N	PFIZER	False	False	AP	5	S	
009165	N	ENDO PHARM	False	False	AP	2	P	
009166	N	SANOFI AVENTIS US	False	False	AP	3	S	
009170	N	VALEANT	False	False	AP	1	P	
009175	N	SHIONOGI INC	False	False	AP	3	S	
009176	N	PFIZER GLOBAL	False	False	AP	3	S	
009182	N	ROCHE	False	False	AP	2	S	
009190	N	GUERBET	False	False	AP	1	P	
009193	N	MERCK	False	False	AP	1	P	
009215	N	NOVARTIS	False	False	AP	5	S	
009217	N	MEDPOINTE PHARM HLC	False	False	AP	2	S	
009218	N	BRISTOL MYERS SQUIBB	False	False	AP	1	S	
009238	N	LILLY	False	False	AP	5	S	
009255	N	FOREST PHARMS	False	False	AP	5	S	
009268	N	PARKE DAVIS	False	False	AP	1	S	
009273	N	IMPAX LABS	False	False	AP	5	S	
009276	N	BOWMAN PHARMS	False	False	AP	5	S	
009278	N	PANRAY	False	False	AP			
009282	N	NOVARTIS	False	False	AP	1	S	
009296	N	NOVARTIS	False	False	AP	4	S	
009309	N	GLAXOSMITHKLINE	False	False	AP	1	P	
009319	N	FOREST LABS	False	False	AP	4	S	
009321	N	BRACCO	False	False	AP	5	S	
009330	N	GLAXOSMITHKLINE LLC	False	False	AP			
009344	N	LILLY	False	False	AP	1	P	
009357	N	BRISTOL MYERS SQUIBB	False	False	AP	5	S	
009372	N	WYETH AYERST	False	False	AP	1	P	
009376	N	LILLY	False	False	AP	5	S	
009378	N	PHARMACIA AND UPJOHN	False	False	AP	5	S	
009386	N	ASPEN GLOBAL	False	False	AP	1	P	
009388	N	DURAMED PHARMS BARR	False	False	AP	3	S	
009391	N	PANRAY	False	False	AP	5	S	
009395	N	GLENWOOD	False	False	AP	2	S	
009402	N	JHP PHARMS	False	False	AP			
009410	N	SANOFI AVENTIS US	False	False	AP	1	S	
009434	N	NOVARTIS	False	False	AP	3	S	
009435	N	APP PHARMS	False	False	AP	1	P	
009436	N	NOVARTIS	False	False	AP	2	S	
009452	N	BLULINE	False	False	AP	5	S	
009453	N	VALE	False	False	AP	5	S	
009458	N	IMPAX LABS	False	False	AP	5	S	
009470	N	APP PHARMS	False	False	AP	3	P	
009477	N	BUNDY	False	False	AP	5	S	
009486	N	MCNEIL CONS	False	False	AP	3	S	
009489	N	LEDERLE	False	False	AP	1	S	
009495	N	GLAXOSMITHKLINE	False	False	AP	2	S	
009509	N	MERCK	False	False	AP	3	P	
009519	N	SANOFI AVENTIS US	False	False	AP	1	P	
009561	N	GE HEALTHCARE	False	False	AP	1	P	
009585	N	BAYER PHARMS	False	False	AP	5	S	
009627	N	IMPAX LABS	False	False	AP	5	S	
009631	N	BOWMAN PHARMS	False	False	AP	5	S	
009637	N	AKORN	False	False	AP	5	S	
009645	N	VITARINE	False	False	AP	5	S	
009659	N	PANRAY	False	False	AP	5	S	
009660	N	ROCHE	False	False	AP	1	S	
009663	N	BUNDY	False	False	AP	5	S	
009667	N	VALEANT PHARM INTL	False	False	AP	5	S	
009668	N	VALEANT PHARM INTL	False	False	AP	5	S	
009698	N	MEDPOINTE PHARM HLC	False	False	AP	5	S	
009729	N	LEDERLE	False	False	AP			
009750	N	DISTA	False	False	AP	1	S	
009766	N	SCHERING	False	False	AP	1	P	
009768	N	SANOFI AVENTIS US	False	False	AP	1	S	
009789	N	MEDPOINTE PHARM HLC	False	False	AP	1	S	
009796	N	PFIPHARMECS	False	False	AP	5	S	
009818	N	MONARCH PHARMS	False	False	AP	1	S	
009829	N	VALEANT PHARM INTL	False	False	AP	1	S	
009830	N	VALEANT PHARM INTL	False	False	AP	3	S	
009838	N	SANDOZ	False	False	AP			
009854	N	ORGANON USA INC	False	False	AP	2	P	
009859	N	ROXANE	False	False	AP	5	S	
009864	N	PHARMACIA AND UPJOHN	False	False	AP	5	S	
009866	N	PHARMACIA AND UPJOHN	False	False	AP	2	S	
009895	N	BAYER PHARMS	False	False	AP	5	S	
009900	N	PHARMACIA AND UPJOHN	False	False	AP	3	S	
009925	N	ASTRAZENECA	False	False	AP	1	S	
009926	N	FERNDALE LABS	False	False	AP	5	S	
009986	N	PHARMACIA AND UPJOHN	False	False	AP	5	S	
009987	N	PHARMACIA AND UPJOHN	False	False	AP	1	S	
009996	N	PFIZER	False	False	AP	5	S	
010010	N	BAYER PHARMS	False	False	AP	2	S	
010012	N	LILLY	False	False	AP	5	S	
010021	N	ABBOTT	False	False	AP	5	S	
010028	N	WYETH AYERST	False	False	AP	1	P	
010040	N	BRACCO	False	False	AP	24	S	
010060	N	KING PHARMS	False	False	AP	3	S	
010093	N	UCB INC	False	False	AP	2	S	
010104	N	BIOVAIL TECHNOLOGIES	False	False	AP	3	P	
010124	N	LANNETT	False	False	AP	5	S	
010151	N	PARKE DAVIS	False	False	AP	3	S	
010155	N	SANOFI AVENTIS US	False	False	AP	1	S	
010187	N	NOVARTIS	False	False	AP	3	S	
010209	N	SCHERING	False	False	AP	3	S	
010210	N	SCHERING	False	False	AP	4	S	
010220	N	GE HEALTHCARE	False	False	AP	5	S	
010251	N	TARGACEPT	False	False	AP	1	P	
010255	N	SCHERING	False	False	AP	3	S	
010347	N	BRISTOL MYERS SQUIBB	False	False	AP	1	S	
010348	N	WYETH AYERST	False	False	AP	3	S	
010349	N	BAXTER HLTHCARE CORP	False	False	AP	1	S	
010355	N	ROCHE	False	False	AP	1	S	
010374	N	3M	False	False	AP			
010375	N	3M	False	False	AP	2	S	
010379	N	KING PHARMS	False	False	AP	1	P	
010392	N	PFIZER	False	False	AP	1	S	
010401	N	NURO PHARMA	False	False	AP	3	S	
010402	N	WYETH PHARMS INC	False	False	AP	3	S	
010417	N	APP PHARMS	False	False	AP	3	P	
010418	N	ASTRAZENECA	False	False	AP	5	S	
010423	N	ROCHE	False	False	AP	1	S	
010441	N	EVERYLIFE	False	False	AP	5	S	
010460	N	BOEHRINGER INGELHEIM	False	False	AP	1	P	
010485	N	ROERIG	False	False	AP	3	S	
010496	N	ASTRAZENECA	False	False	AP	4	S	
010515	N	HOSPIRA	False	False	AP	3	P	
010520	N	MERCK	False	False	AP	2	S	
010533	N	NOVARTIS	False	False	AP	5	S	
010554	N	PFIZER	False	False	AP	1	S	
010562	N	MERCK	False	False	AP	2	S	
010571	N	GLAXOSMITHKLINE	False	False	AP	1	P	
010573	N	3M	False	False	AP	2	S	
010581	N	PHYS PRODS VA	False	False	AP	5	S	
010585	N	MERCK	False	False	AP	1	S	
010596	N	PARKE DAVIS	False	False	AP	1	P	
010598	N	SANOFI AVENTIS US	False	False	AP	4	S	
010599	N	ABBOTT	False	False	AP	1	S	
010611	N	PHARMACIA AND UPJOHN	False	False	AP	1	P	
010653	N	3M	False	False	AP	1	S	
010656	N	MERCK	False	False	AP	3	S	
010669	N	SMITHKLINE BEECHAM	False	False	AP	1	P	
010670	N	PHARMACIA AND UPJOHN	False	False	AP	1	P	
010679	N	SANOFI AVENTIS US	False	False	AP	1	S	
010686	N	PFIZER	False	False	AP	5	S	
010718	N	REED AND CARNRICK	False	False	AP	3	P	
010721	N	PFIZER	False	False	AP		S	
010742	N	GLAXOSMITHKLINE	False	False	AP	2	S	
010744	N	GLAXOSMITHKLINE	False	False	AP	3	S	
010753	N	WYETH AYERST	False	False	AP	1	S	
010775	N	SCHERING	False	False	AP	1	S	
010787	N	SANOFI AVENTIS US	False	False	AP	2	P	
010791	N	BEL MAR	False	False	AP	5	S	
010796	N	ABBOTT	False	False	AP	1	S	
010799	N	WYETH CONS	False	False	AP	5	S	
010831	N	ORGANICS LAGRANGE	False	False	AP	3	S	
010841	N	LUNDBECK INC	False	False	AP	1	P	
010895	N	PARKE DAVIS	False	False	AP	1	P	
010909	N	SCHERING	False	False	AP	1	S	
010911	N	STUART PHARMS	False	False	AP	4	S	
010926	N	SHIONOGI INC	False	False	AP	3	S	
010927	N	BRACCO	False	False	AP	5	S	
010929	N	BRACCO	False	False	AP	5	S	
010942	N	WYETH AYERST	False	False	AP	3	S	
010962	N	PARKE DAVIS	False	False	AP	5	S	
010971	N	WYETH AYERST	False	False	AP	4	S	
010976	N	GD SEARLE LLC	False	False	AP	14	S	
010996	N	XANODYNE PHARM	False	False	AP	4	P	
010997	N	XANODYNE PHARM	False	False	AP	1	P	
011000	N	GLAXOSMITHKLINE	False	False	AP	3	S	
011011	N	SCHWARZ PHARMA	False	False	AP	1	S	
011028	N	MERCK	False	False	AP	3	S	
011045	N	MEDPOINTE PHARM HLC	False	False	AP	5	S	
011047	N	PHARMACIA AND UPJOHN	False	False	AP	1	S	
011073	N	MEDPOINTE PHARM HLC	False	False	AP	4	S	
011110	N	GLAXOSMITHKLINE	False	False	AP	1	S	
011111	N	PFIZER	False	False	AP	3	S	
011120	N	GLAXOSMITHKLINE	False	False	AP	3	S	
011123	N	BRISTOL MYERS SQUIBB	False	False	AP	1	S	
011127	N	GLAXOSMITHKLINE	False	False	AP	2	S	
011145	N	LUNDBECK INC	False	False	AP	1	P	
011153	N	PHARMACIA AND UPJOHN	False	False	AP	1	S	
011161	N	ASTELLAS	False	False	AP	1	P	
011178	N	SANOFI AVENTIS US	False	False	AP	5	S	
011185	N	IVAX SUB TEVA PHARMS	False	False	AP	5	S	
011188	N	GLAXOSMITHKLINE	False	False	AP	2	S	
011208	N	ARMOUR PHARM	False	False	AP	5	S	
011210	N	FOREST LABS	False	False	AP	1	S	
011213	N	SCHERING	False	False	AP	3	S	
011228	N	ORGANON USA INC	False	False	AP	5	S	
011245	N	BRACCO	False	False	AP	3	S	
011265	N	ANI PHARMS	False	False	AP	4	S	
011270	N	SHIRE	False	False	AP	3	S	
011276	N	GLAXOSMITHKLINE	False	False	AP	3	S	
011283	N	BRISTOL MYERS SQUIBB	False	False	AP	5	S	
011284	N	MEDPOINTE PHARM HLC	False	False	AP	3	S	
011287	N	SANOFI AVENTIS US	False	False	AP	1	P	
011294	N	SCHERING	False	False	AP	3	S	
011300	N	ORTHO MCNEIL PHARM	False	False	AP	1	S	
011316	N	ALLERGAN HERBERT	False	False	AP	1	S	
011323	N	SHIRE	False	False	AP	4	S	
011324	N	BRACCO	False	False	AP	5	S	
011325	N	APOTHECON	False	False	AP	3	S	
011338	N	WYETH AYERST	False	False	AP	1	P	
011340	N	PHARM RES ASSOC	False	False	AP	1	S	
011359	N	BRISTOL MYERS SQUIBB	False	False	AP	5	S	
011361	N	SCHERING	False	False	AP	3	S	
011366	N	TARO	False	False	AP	1	S	
011386	N	GE HEALTHCARE	False	False	AP	3	S	
011418	N	WYETH AYERST	False	False	AP	3	S	
011444	N	SANOFI AVENTIS US	False	False	AP	4	S	
011446	N	PFIZER	False	False	AP	5	S	
011459	N	PFIZER	False	False	AP	2	S	
011467	N	SANOFI AVENTIS US	False	False	AP	1	S	
011483	N	CARACO	False	False	AP	4	S	
011491	N	APOTHECON	False	False	AP	4	S	
011496	N	GLAXOSMITHKLINE	False	False	AP	3	S	
011521	N	IVAX SUB TEVA PHARMS	False	False	AP	5	S	
011522	N	TEVA WOMENS	False	False	AP	24	S	
011525	N	AKORN	False	False	AP	1	P	
011529	N	JANSSEN PHARMS	False	False	AP	4	S	
011552	N	GLAXOSMITHKLINE	False	False	AP	1	S	
011556	N	NOVARTIS	False	False	AP	1	S	
011557	N	SCHERING	False	False	AP	3	S	
011559	N	JHP PHARMS	False	False	AP	1	S	
011583	N	MERCK	False	False	AP	4	S	
011600	N	APOTHECON	False	False	AP	3	S	
011601	N	APOTHECON	False	False	AP	3	S	
011602	N	BRISTOL MYERS SQUIBB	False	False	AP	2	S	
011612	N	PFIZER	False	False	AP	1	S	
011613	N	UCB INC	False	False	AP	1	P	
011620	N	BRACCO	False	False	AP	5	S	
011635	N	MERCK	False	False	AP	4	S	
011641	N	PFIZER	False	False	AP	1	P	
011642	N	PHARM RES ASSOC	False	False	AP	2	S	
011657	N	FOREST LABS	False	False	AP	1	S	
011664	N	MERCK	False	False	AP	1	P	
011665	N	VALEANT PHARM INTL	False	False	AP	3	S	
011673	N	3M	False	False	AP	5	S	
011679	N	ABBOTT	False	False	AP	1	P	
011683	N	IMMUNEX	False	False	AP	1	P	
011685	N	SANDOZ	False	False	AP	2	S	
011689	N	SHIONOGI INC	False	False	AP	5	S	
011694	N	ROBINS AH	False	False	AP	4	S	
011695	N	PHARM RES ASSOC	False	False	AP			
011702	N	CARACO	False	False	AP	4	S	
011707	N	ENDO PHARMS	False	False	AP	3	S	V
011719	N	HOSPIRA	False	False	AP	2	S	V
011721	N	LEDERLE	False	False	AP	3	S	
011722	N	WATSON PHARMS	False	False	AP	1	P	
011730	N	BAXTER HLTHCARE CORP	False	False	AP	4	P	
011738	N	ENDO PHARMS	False	False	AP	3	S	V
011745	N	ROCHE	False	False	AP	5	S	
011748	N	PHARMACIA AND UPJOHN	False	False	AP	3	S	
011751	N	APOTHECON	False	False	AP	5	S	
011752	N	BOEHRINGER INGELHEIM	False	False	AP	3	S	
011757	N	PHARMACIA AND UPJOHN	False	False	AP	2	S	
011771	N	PHARM RES ASSOC	False	False	AP	2	S	
011777	N	MALLINCKRODT	False	False	AP	5	S	
011790	N	BAXTER HLTHCARE CORP	False	False	AP	3	S	
011792	N	MEDA PHARMS	False	False	AP	1	S	
011793	N	NOVARTIS	False	False	AP	1	S	
011795	N	PFIZER	False	False	AP	3	S	
011808	N	NOVARTIS	False	False	AP	1	P	
011814	N	SCHERING	False	False	AP	1	S	
011835	N	MERCK	False	False	AP	5	S	
011836	N	SANOFI AVENTIS US	False	False	AP	1	P	
011837	N	SOLA BARNES HIND	False	False	AP	3	S	
011838	N	NOVARTIS	False	False	AP	3	S	
011839	N	PHARMACIA AND UPJOHN	False	False	AP	1	S	
011856	N	PHARMACIA AND UPJOHN	False	False	AP	2	S	
011860	N	MERCK	False	False	AP	1	S	
011870	N	SALIX PHARMS	False	False	AP	3	S	
011878	N	NOVARTIS	False	False	AP	4	S	
011891	N	ORGANON USA INC	False	False	AP	1	S	
011903	N	ALCON	False	False	AP	5	S	
011909	N	PARKE DAVIS	False	False	AP	1	S	
011914	N	CHESEBROUGH PONDS	False	False	AP	14	S	
011945	N	GLAXOSMITHKLINE	False	False	AP	3	S	
011949	N	SHIRE	False	False	AP	1	S	
011950	N	WESTWOOD SQUIBB	False	False	AP	1	S	
011958	N	MERCK	False	False	AP	5	S	
011960	N	ASTELLAS	False	False	AP	3	S	
011961	N	VALIDUS PHARMS INC	False	False	AP	1	S	
011963	N	WYETH PHARMS INC	False	False	AP	1	S	
011964	N	PARKE DAVIS	False	False	AP	2	S	
011971	N	ABBOTT	False	False	AP	5	S	
011977	N	MERCK	False	False	AP	3	S	
011983	N	MERCK	False	False	AP	3	S	
011984	N	MERCK	False	False	AP	3	S	
012003	N	ABBOTT	False	False	AP	1	S	
012015	N	LUNDBECK INC	False	False	AP	3	S	
012026	N	NOVARTIS	False	False	AP	4	S	
012034	N	SCHERING	False	False	AP	1	S	
012041	N	APOTHECON	False	False	AP	3	S	
012052	N	MERCK	False	False	AP	3	S	
012071	N	MERCK	False	False	AP	3	S	
012093	N	VALEANT INTL	False	False	AP			
012095	N	PHARMACIA AND UPJOHN	False	False	AP	2	P	
012097	N	APOTHECON	False	False	AP	3	S	
012102	N	3M	False	False	AP	3	S	
012104	N	RANBAXY	False	False	AP	3	S	
012111	N	ALCON	False	False	AP	1	S	
012122	N	LILLY	False	False	AP	1	P	
012125	N	EASTMAN KODAK	False	False	AP	4	P	
012126	N	3M	False	False	AP	14	S	
012128	N	PFIZER	False	False	AP	1	S	
012141	N	BAXTER HLTHCARE	False	False	AP	1	P	
012142	N	BAXTER HLTHCARE	False	False	AP	2	P	
012145	N	APOTHECON	False	False	AP	3	S	
012148	N	ABBOTT	False	False	AP	4	S	
012151	N	GD SEARLE LLC	False	False	AP	1	P	
012152	N	GLAXOSMITHKLINE	False	False	AP	4	S	
012154	N	HOSPIRA	False	False	AP	3	S	
012155	N	SCHERING	False	False	AP	5	S	
012157	N	GRACEWAY	False	False	AP	2	S	
012164	N	APOTHECON	False	False	AP	3	S	
012179	N	HI TECH PHARMA	False	False	AP	4	S	
012184	N	PARKE DAVIS	False	False	AP	2	S	
012193	N	NOVARTIS	False	False	AP	4	S	
012209	N	VALEANT	False	False	AP	1	P	V
012223	N	BIOVAIL TECHNOLOGIES	False	False	AP	5	S	
